Date,Treatment,Bin,Nitrate,Phosphate
2/23/2022,1,2,0.154,17
2/23/2022,1,4,0.147,10.8
2/23/2022,1,5,0.0861,10.7
2/23/2022,2,3,NA,NA
2/23/2022,2,7,0.106,8.26
2/23/2022,2,1,0.129,7.37
2/23/2022,3,9,0.431,63.7
2/23/2022,3,11,0.186,17.4
2/23/2022,3,12,NA,NA
2/23/2022,4,6,0.128,3.96
2/23/2022,4,10,0.072,22.4
2/23/2022,4,8,0.00744,9.7
3/17/2022,1,2,0.00674,8.82
3/17/2022,1,4,0.00855,4.68
3/17/2022,1,5,0.032,20.6
3/17/2022,2,3,-0.00622,4.04
3/17/2022,2,7,0.0413,14.3
3/17/2022,2,1,0.00181,121
3/17/2022,3,9,0.00612,7.42
3/17/2022,3,11,-0.00595,-6.24
3/17/2022,3,12,0.0134,11.3
3/17/2022,4,6,0.0191,5.26
3/17/2022,4,10,-0.0112,10
3/17/2022,4,8,-0.00262,6.8
3/26/2022,1,2,0.00251,14.4
3/26/2022,1,4,0.0259,13.8
3/26/2022,1,5,0.00508,12
3/26/2022,2,3,-0.000855,10.3
3/26/2022,2,7,0.0333,15
3/26/2022,2,1,0.0256,11.7
3/26/2022,3,9,0.0156,20.6
3/26/2022,3,11,-0.00257,16.4
3/26/2022,3,12,0.0323,8.76
3/26/2022,4,6,0.00689,8.97
3/26/2022,4,10,-0.00825,6.45
3/26/2022,4,8,-0.00733,17.4
4/2/2022,1,2,0.0113,27.5
4/2/2022,1,4,0.000661,20.5
4/2/2022,1,5,0.00411,28.3
4/2/2022,2,3,-0.00587,8.46
4/2/2022,2,7,-0.0058,8.05
4/2/2022,2,1,0.000245,9.32
4/2/2022,3,9,0.0233,11.4
4/2/2022,3,11,-0.00796,13.3
4/2/2022,3,12,0.0301,9.74
4/2/2022,4,6,-0.00479,9.24
4/2/2022,4,10,-0.00664,6.68
4/2/2022,4,8,-0.00707,9.05
